brand,processor,ram,video-card,memory,price
Lenovo,Intel Core i5,16,Intel Iris Xe Graphics,1024,29009
Lenovo,Intel Core i7,40,Intel Iris Xe Graphics,512,26699
Lenovo,Intel Core i7,40,Intel Iris Xe Graphics,1024,27649
Lenovo,Intel Core i7,24,Intel Iris Xe Graphics,1024,26699
Lenovo,Intel Core i7,24,Intel Iris Xe Graphics,512,25699
Lenovo,Intel Core i7,16,Intel Iris Xe Graphics,1024,33249
Lenovo,Intel Core i7,16,Intel Iris Xe Graphics,512,24999
Asus,Intel Core i5,24,Intel UHD Graphics,1024,17999
Asus,Intel Core i5,16,Intel UHD Graphics,1024,17299
Asus,Intel Core i5,40,Intel UHD Graphics,512,17799
Asus,Intel Core i5,16,Intel UHD Graphics,512,16299
Lenovo,AMD Ryzen 7,40,AMD Radeon Graphics,1024,19849
Lenovo,AMD Ryzen 7,40,AMD Radeon Graphics,512,18849
Lenovo,AMD Ryzen 7,24,AMD Radeon Graphics,512,17349
Lenovo,AMD Ryzen 7,24,AMD Radeon Graphics,1024,18199
Lenovo,AMD Ryzen 7,40,AMD Radeon Graphics,512,18649
Lenovo,Intel Core i5,16,Nvidia GeForce RTX™ 4060,1024,37199
Lenovo,Intel Core i5,16,Nvidia GeForce RTX™ 4060,512,35899
Lenovo,Intel Core Ultra 7,16,Intel Iris Xe Graphics,512,46649
Lenovo,Intel Core i5,16,Intel Iris Xe Graphics,512,29049
Hp,AMD Ryzen 5,16,AMD Radeon Graphics,512,29199
Asus,Intel Core Ultra 5,8,Nvidia GeForce RTX™ 4050,512,33999
Hp,Intel Core i5,8,Intel Iris Xe Graphics,256,42919
Hp,AMD Ryzen 5,8,AMD Radeon Graphics,512,48819
Hp,AMD Ryzen 5,16,AMD Radeon Graphics,256,58169
Hp,AMD Ryzen 5,8,AMD Radeon Graphics,256,44289
Hp,AMD Ryzen 5,8,AMD Radeon Graphics,256,43729
Lenovo,Intel Core i5,16,Nvidia GeForce RTX™ 4060,1024,36899
Lenovo,Intel Core i5,16,Intel UHD Graphics,512,39469
Dell,Intel Core i5,8,Intel Iris Xe Graphics,512,36269
Dell,Intel Core i5,8,Intel Iris Xe Graphics,512,34859
Dell,Intel Core i5,8,Intel Iris Xe Graphics,512,28539
Dell,Intel Core i5,8,Intel Iris Xe Graphics,512,34299
Dell,Intel Core i7,16,Intel Iris Xe Graphics,512,37969
Hp,Intel Core i3,8,Intel HD Graphics,512,16789
Hp,Intel Core i7,8,Intel Iris Xe Graphics,512,22499
Hp,AMD Ryzen 5,16,AMD Radeon Graphics,512,22899
Hp,AMD Ryzen 7,16,AMD Radeon Graphics,512,37199
Hp,Intel Core i5,16,Intel Iris Xe Graphics,512,17699
Lenovo,AMD Ryzen 5,8,AMD Radeon Graphics,512,33109
Dell,Intel Core i5,16,Intel Iris Xe Graphics,512,19339
Dell,Intel Core i5,8,Intel Iris Xe Graphics,512,22829
Dell,Intel Core i7,16,Nvidia GeForce MX570,512,45229
Lenovo,Intel Core i5,8,Intel Iris Xe Graphics,256,19099
Lenovo,Intel Core i5,16,Intel Iris Xe Graphics,512,19699
Lenovo,Intel Core i5,16,Intel Iris Xe Graphics,512,39179
Lenovo,Intel Core i5,12,Nvidia GeForce RTX™ 4060,1024,36899
Asus,Intel Core i5,8,Intel UHD Graphics,512,23349
Asus,Intel Core i3,8,Intel UHD Graphics,512,16039
MSI,Intel Core i5,16,Nvidia GeForce RTX™ 4050,1024,39219
Lenovo,AMD Ryzen 7,24,AMD Radeon Graphics,512,17599
MSI,Intel Core i7,16,Nvidia GeForce RTX™ 4050,512,49939
Lenovo,AMD Ryzen 7,16,AMD Radeon Graphics,512,16999
Hp,AMD Ryzen 7 PRO,16,AMD Radeon Graphics,512,39669
Hp,Intel Core Ultra 5,16,Intel Arc Graphics,512,65489
